date,open,high,low,close,volume,Daily percent change
7/19/2011,37.3799,37.6365,37.292,37.5998,7117800,0.005848435
7/20/2011,37.6731,37.7391,37.2407,37.3506,5782300,-0.008634399
7/21/2011,37.5192,38.1129,37.4972,37.915,6371000,0.01043914
7/22/2011,37.9736,38.0249,37.6365,37.9736,3985300,0
7/25/2011,37.6658,37.7611,37.4239,37.4826,3376200,-0.004887601
7/26/2011,37.5925,37.6365,36.8815,37.0941,5895500,-0.013436099
7/27/2011,36.9988,37.2187,36.8302,36.9035,5372900,-0.002582411
7/28/2011,36.9035,37.358,36.8669,36.9622,4263900,0.001588109
7/29/2011,37.2407,37.9883,36.9622,37.7391,9507500,0.013206462
8/1/2011,37.871,37.8783,36.8596,37.4532,8813100,-0.011155255
8/2/2011,37.0135,37.2407,35.8628,35.8774,8307400,-0.031666174
8/3/2011,35.9654,36.5371,35.5989,36.4638,9521800,0.013668351
8/4/2011,36.3612,36.5371,34.9612,35.0419,12894500,-0.037649214
8/5/2011,35.4303,35.8115,34.6681,35.6575,11255100,0.006371731
8/8/2011,34.888,35.2764,33.1875,34.0377,13016000,-0.024981124
8/9/2011,34.3676,35.9141,34.111,35.8774,14367600,0.042082202
8/10/2011,35.3717,35.4743,34.1623,34.2283,9750200,-0.033405106
8/11/2011,34.4628,35.1298,34.2796,34.6461,12130700,0.005290639
8/12/2011,35.1298,35.8261,34.4115,35.5329,6869900,0.011344416
8/15/2011,35.6795,35.7088,35.0492,35.489,5971100,-0.00536786
8/16/2011,35.476,36.6337,35.476,36.4051,8853800,0.02552115
8/17/2011,38.3666,38.5362,36.9213,37.2753,21727300,-0.02927676
8/18/2011,36.5157,37.4891,36.0954,37.3416,14249600,0.022117424
8/19/2011,36.8918,37.5407,36.6927,36.8107,8574400,-0.002203164
8/22/2011,37.3343,37.3859,36.6632,36.9066,6144100,-0.011588713
8/23/2011,36.9066,37.3785,36.796,37.3343,6226200,0.011455953
8/24/2011,37.2974,37.9242,37.054,37.6071,4895800,0.008235147
8/25/2011,37.5776,37.8136,36.9582,37.0909,4619700,-0.013121817
8/26/2011,36.9361,37.7251,36.5379,37.4817,4688400,0.014556437
8/29/2011,37.8283,37.902,37.4375,37.8578,4377000,0.000779232
8/30/2011,37.703,37.8947,37.2531,37.5776,6497200,-0.003337094
8/31/2011,37.7767,38.3445,37.7546,38.1011,9410400,0.00851419
9/1/2011,38.4772,38.5215,37.467,37.6513,7921800,-0.021935498
9/2/2011,37.3416,37.3416,36.6559,36.6559,4702400,-0.018706402
9/6/2011,35.9627,36.4346,35.6604,36.383,5175000,0.011552099
9/7/2011,36.9066,37.2974,36.5821,37.2974,5700300,0.010477942
9/8/2011,37.0319,37.9094,36.796,37.3048,9835200,0.007315412
9/9/2011,37.0614,37.2531,36.5084,36.8844,7976600,-0.004798777
9/12/2011,36.4494,37.1278,36.1913,36.9508,5302500,0.013569395
9/13/2011,36.9729,37.6587,36.7001,37.5702,6606200,0.015898238
9/14/2011,37.8357,38.2118,37.5702,37.8136,6868200,-0.000584446
9/15/2011,38.1528,38.2486,37.6513,38.1233,4925700,-0.000773805
9/16/2011,38.315,39.3695,38.2707,38.8312,11127500,0.013293434
9/19/2011,38.2855,39.0671,38.2191,38.9049,6356100,0.015920874
9/20/2011,39.0155,39.1777,38.5362,38.551,4411200,-0.012048974
9/21/2011,38.374,39.0303,37.9094,37.9242,4833700,-0.011860501
9/22/2011,37.0393,37.8283,35.8521,36.2282,13278100,-0.022388636
9/23/2011,36.1839,36.6337,35.9922,36.2355,8057700,0.001424018
9/26/2011,36.5157,37.4375,36.4125,37.3269,5928600,0.021732316
9/27/2011,37.8357,38.1601,37.0909,37.1868,7628300,-0.01744974
9/28/2011,37.1794,37.8283,36.7517,36.8623,7616800,-0.008602285
9/29/2011,37.5186,37.5776,36.3609,37.0393,7887500,-0.012940309
9/30/2011,36.678,36.7886,36.1397,36.1618,8794500,-0.014274732
10/3/2011,35.8963,36.2798,35.2401,35.2474,8410500,-0.018409869
10/4/2011,35.1147,36.5305,35.1147,36.4789,10200000,0.037396961
10/5/2011,36.619,36.7591,36.1839,36.6927,6120000,0.002008574
10/6/2011,37.8357,38.6542,37.6071,38.2781,13756000,0.011557522
10/7/2011,38.4698,38.6026,37.6071,38.02,7249800,-0.011830615
10/10/2011,38.3961,38.868,38.2265,38.809,4816900,0.010639285
10/11/2011,38.5362,39.222,38.2265,39.1335,6647000,0.015263138
10/12/2011,39.0893,39.5169,38.8902,38.8975,5562700,-0.004930908
10/13/2011,38.6394,39.1114,38.5436,38.8828,4658000,0.006259837
10/14/2011,39.0893,39.3178,38.7648,39.045,4802100,-0.001134588
10/17/2011,38.8312,39.2294,38.8017,39.0081,4042300,0.004534956
10/18/2011,39.0081,39.8193,38.809,39.5538,5611600,0.013796399
10/19/2011,39.4948,39.7972,39.2072,39.281,4203400,-0.005442835
10/20/2011,39.3105,39.6865,39.0376,39.6054,4702300,0.007445954
10/21/2011,39.9151,40.2986,39.7087,40.2912,5880900,0.009334545
10/24/2011,40.1216,40.6894,40.1216,40.3502,4376700,0.005665399
10/25/2011,40.2248,40.4829,39.9225,40.1142,3881400,-0.002757128
10/26/2011,40.4534,40.9032,39.9004,40.6673,6543300,0.005259754
10/27/2011,41.2572,41.2941,40.4534,40.9696,7589200,-0.007019839
10/28/2011,40.7705,40.9622,40.4092,40.7336,5384900,-0.000905886
10/31/2011,40.3576,40.8516,40.188,40.3723,4293900,0.000364111
11/1/2011,39.2589,39.3105,38.079,38.7943,16462300,-0.011975986
11/2/2011,39.3252,39.9299,38.8902,39.0229,12183000,-0.007746733
11/3/2011,38.1085,38.8238,37.6956,38.5215,10045000,0.010721286
11/4/2011,38.3961,38.6026,37.9168,38.4698,5265500,0.001915788
11/7/2011,38.551,38.986,38.3961,38.9565,3869400,0.010409046
11/8/2011,39.0819,39.1851,38.5878,39.1187,5203000,0.000940727
11/9/2011,38.4108,38.6099,37.9979,38.1159,5876900,-0.007736929
11/10/2011,38.4403,38.551,38.0127,38.1749,3927200,-0.006952212
11/11/2011,38.3445,39.1777,38.3297,39.1335,4291900,0.020161754
11/14/2011,38.9338,39.3194,38.778,39.045,3747000,0.002847996
11/15/2011,38.956,39.7273,38.8893,39.4381,6530100,0.01222422
11/16/2011,40.5653,40.7803,39.1933,39.2601,13135800,-0.033244948
11/17/2011,39.5938,39.8608,38.6816,39.0376,6392700,-0.014247802
11/18/2011,39.1637,39.4677,38.7113,39.3046,6125100,0.003584822
11/21/2011,38.6001,39.1414,38.2812,38.9634,5908200,0.009324135
11/22/2011,38.9634,39.312,38.8819,39.0747,5393100,0.00284839
11/23/2011,38.7039,38.7261,38.2144,38.2144,5225000,-0.012809307
11/25/2011,38.3108,38.4666,37.9771,37.9771,2330100,-0.008786874
11/28/2011,38.867,38.9783,38.0809,38.2886,4721200,-0.015106324
11/29/2011,38.5407,39.0969,38.3034,38.741,5617300,0.005170233
11/30/2011,39.4381,39.49,38.4814,39.0821,9160800,-0.009109029
12/1/2011,39.134,39.4455,38.5556,38.6742,8934100,-0.011889063
12/2/2011,38.8151,39.5641,38.8151,39.2156,7522500,0.010212772
12/5/2011,39.4529,39.6531,39.2082,39.5419,4379000,0.002250777
12/6/2011,39.5641,39.9646,39.3268,39.794,4199500,0.005777253
12/7/2011,39.7866,40.1871,39.6754,40.1871,8397100,0.009965885
12/8/2011,39.9275,40.2686,39.5641,39.6531,5069000,-0.006920014
12/9/2011,39.8385,39.972,39.5196,39.6754,3975800,-0.00411086
12/12/2011,39.616,39.7792,39.3194,39.6531,4388600,0.000935614
12/13/2011,39.6828,39.7792,39.0079,39.1637,4487300,-0.013254621
12/14/2011,38.9708,39.1711,38.7484,38.9189,3428000,-0.001333542
12/15/2011,39.2156,39.312,38.5556,38.6149,3650500,-0.015556171
12/16/2011,38.8819,38.9931,38.4147,38.7113,4165300,-0.004406982
12/19/2011,38.689,38.8893,38.0439,38.1477,3143300,-0.014189584
12/20/2011,38.5407,38.6075,37.9178,38.3998,6704400,-0.00366929
12/21/2011,38.3331,38.6297,38.2589,38.3553,6752600,0.000578799
12/22/2011,38.3479,38.5778,37.9178,38.0216,5842800,-0.008581964
