symbol,name,currency,stockExchange,exchangeShortName
DOTUSD,Polkadot USD,USD,CCC,CRYPTO
NRGUSD,Energi USD,USD,CCC,CRYPTO
LCCUSD,LitecoinCash USD,USD,CCC,CRYPTO
SFPUSD,SafePal USD,USD,CCC,CRYPTO
SXPUSD,Swipe USD,USD,CCC,CRYPTO
VRAUSD,Verasity USD,USD,CCC,CRYPTO
STRKUSD,Strike USD,USD,CCC,CRYPTO
NVTUSD,NerveNetwork USD,USD,CCC,CRYPTO
DMCHUSD,DARMACash USD,USD,CCC,CRYPTO
YFIIUSD,DFI.Money USD,USD,CCC,CRYPTO
TERAUSD,TERA USD,USD,CCC,CRYPTO
CHZUSD,Chiliz USD,USD,CCC,CRYPTO
SANDUSD,TheSandbox USD,USD,CCC,CRYPTO
ABBCUSD,ABBCCoin USD,USD,CCC,CRYPTO
OXTUSD,Orchid USD,USD,CCC,CRYPTO
ALCXUSD,Alchemix USD,USD,CCC,CRYPTO
HPBUSD,HighPerformanceBlockchain USD,USD,CCC,CRYPTO
BHD-USD,BitcoinHD USD,USD,CCC,CRYPTO
DYNUSD,Dynamic USD,USD,CCC,CRYPTO
CSCUSD,CasinoCoin USD,USD,CCC,CRYPTO
TTUSD,ThunderToken USD,USD,CCC,CRYPTO
CELOUSD,Celo USD,USD,CCC,CRYPTO
TWTUSD,TrustWalletToken USD,USD,CCC,CRYPTO
AEONUSD,Aeon USD,USD,CCC,CRYPTO
XHVUSD,HavenProtocol USD,USD,CCC,CRYPTO
HIVEUSD,Hive USD,USD,CCC,CRYPTO
ICPUSD,Internet Computer USD,USD,CCC,CRYPTO
BSWUSD,Biswap USD,USD,CCC,CRYPTO
ETNUSD,Electroneum USD,USD,CCC,CRYPTO
PHRUSD,Phore USD,USD,CCC,CRYPTO
XSNUSD,Stakenet USD,USD,CCC,CRYPTO
MBCUSD,MicroBitcoin USD,USD,CCC,CRYPTO
FTTUSD,FTX Token USD,USD,CCC,CRYPTO
MFTUSD,Hifi Finance USD,USD,CCC,CRYPTO
FETUSD,Fetch USD,USD,CCC,CRYPTO
CUTUSD,CUTcoin USD,USD,CCC,CRYPTO
DAGUSD,Constellation USD,USD,CCC,CRYPTO
POAUSD,POANetwork USD,USD,CCC,CRYPTO
MWCUSD,MimbleWimbleCoin USD,USD,CCC,CRYPTO
ATOMUSD,Cosmos USD,USD,CCC,CRYPTO
DIVIUSD,Divi USD,USD,CCC,CRYPTO
EGLDUSD,Elrond USD,USD,CCC,CRYPTO
COTIUSD,COTI USD,USD,CCC,CRYPTO
APLUSD,ApolloCurrency USD,USD,CCC,CRYPTO
LUNAUSD,Luna Coin USD,USD,CCC,CRYPTO
UNIUSD,UNICORN Token USD,USD,CCC,CRYPTO
USDCUSD,USDCoin USD,USD,CCC,CRYPTO
CUREUSD,Curecoin USD,USD,CCC,CRYPTO
NMCUSD,Namecoin USD,USD,CCC,CRYPTO
BPSUSD,BitcoinPoS USD,USD,CCC,CRYPTO
SAPPUSD,Sapphire USD,USD,CCC,CRYPTO
MAROUSD,Maro USD,USD,CCC,CRYPTO
AKTUSD,Akash Network USD,USD,CCC,CRYPTO
GOUSD,GoChain USD,USD,CCC,CRYPTO
VSYSUSD,VSystems USD,USD,CCC,CRYPTO
BHPUSD,BHPCoin USD,USD,CCC,CRYPTO
BLKUSD,BlackCoin USD,USD,CCC,CRYPTO
QRKUSD,Quark USD,USD,CCC,CRYPTO
ONTUSD,Ontology USD,USD,CCC,CRYPTO
DAIUSD,Dai USD,USD,CCC,CRYPTO
OWCUSD,ODUWA USD,USD,CCC,CRYPTO
IOTXUSD,IoTeX USD,USD,CCC,CRYPTO
NYEUSD,NewYorkExchange USD,USD,CCC,CRYPTO
VINUSD,VINchain USD,USD,CCC,CRYPTO
MEDUSD,MediBlocQRC20 USD,USD,CCC,CRYPTO
MANUSD,MatrixAINetwork USD,USD,CCC,CRYPTO
SKLUSD,SKALENetwork USD,USD,CCC,CRYPTO
RSRUSD,ReserveRights USD,USD,CCC,CRYPTO
BCDUSD,BitcoinDiamond USD,USD,CCC,CRYPTO
WICCUSD,WaykiChain USD,USD,CCC,CRYPTO
